MIA,78,LAL,75
ATL,105,PHI,87
CLE,100,PHO,107
DAL,108,SAC,104
GSW,116,UTA,105
SAS,93,WAS,101
ATL,105,BOS,91
MEM,103,BRK,92
WAS,105,CHI,99
SAS,98,CHO,93
DAL,107,DEN,114
NOP,105,DET,94
MIA,89,GSW,104
HOU,113,ORL,120
LAC,100,POR,94
PHI,84,TOR,100
OKC,101,HOU,112
CLE,109,LAL,102
NYK,79,MIL,95
CHI,119,BOS,103
DEN,89,DAL,97
DET,98,IND,96
CLE,126,LAC,121
GSW,115,OKC,127
MEM,106,ORL,96
NOP,81,PHI,96
MIN,99,PHO,110
MIA,95,SAC,83
POR,96,SAS,110
ATL,110,TOR,89
LAL,85,UTA,94
BRK,102,WAS,80
WAS,99,BRK,90
ATL,107,CHI,99
IND,71,CHO,80
MIN,113,DEN,105
PHI,89,DET,107
GSW,131,HOU,106
POR,98,MEM,102
LAC,117,SAC,108
OKC,127,ORL,99
UTA,69,SAS,89
NOP,95,TOR,93
DET,82,ATL,93
MIN,80,CHO,105
CHI,94,CLE,108
DEN,79,GSW,122
IND,98,HOU,110
BOS,93,LAC,102
DAL,103,MEM,95
TOR,92,MIL,89
NOP,92,NYK,99
LAL,100,PHO,115
SAC,94,POR,98
PHI,76,WAS,111
SAS,109,DEN,99
OKC,94,MIA,86
IND,91,ATL,110
MIA,76,CHO,78
UTA,92,CLE,106
ORL,118,DET,128
HOU,113,GSW,126
TOR,86,MEM,92
DAL,98,MIN,75
LAL,80,NOP,96
NYK,98,PHI,91
POR,113,PHO,118
BRK,103,SAC,100
OKC,105,WAS,103
SAS,81,CHI,104
BRK,84,LAC,123
UTA,101,MIL,99
BOS,90,POR,89
OKC,93,ATL,103
CHO,90,CLE,129
CHI,102,DAL,98
BOS,100,DEN,99
SAC,101,GSW,126
IND,87,MIA,89
NOP,92,MIN,84
ORL,106,NYK,113
TOR,91,PHI,86
HOU,113,PHO,111
LAL,85,SAS,99
NYK,71,CHO,76
PHI,83,MEM,101
DET,86,MIL,101
WAS,96,POR,103
BRK,73,UTA,108
MIN,100,ATL,112
MIA,96,CHI,84
OKC,98,CLE,108
WAS,117,DEN,115
BOS,111,GSW,114
HOU,99,LAL,87
DAL,106,NOP,109
IND,106,ORL,99
LAC,120,PHO,100
MIL,95,SAS,101
DET,110,TOR,114
DEN,98,LAC,102
ORL,94,MEM,103
PHI,74,NOP,99
MIN,84,OKC,92
BOS,99,UTA,90
MEM,109,DAL,90
CLE,103,DET,95
CHI,113,GSW,111
TOR,104,IND,91
WAS,98,LAL,92
MIL,109,MIA,102
BRK,102,ATL,113
POR,94,CLE,99
DAL,94,HOU,99
BOS,98,MIN,110
DEN,93,NOP,85
OKC,92,NYK,100
DET,69,PHI,89
WAS,98,PHO,106
CHO,86,SAS,95
SAC,102,TOR,119
LAC,94,UTA,89
NYK,82,IND,103
CHI,118,LAL,123
DEN,69,MEM,99
MIL,115,ORL,100
POR,99,ATL,105
HOU,93,BOS,87
TOR,127,BRK,122
SAC,90,CLE,101
DAL,93,MIA,72
LAC,103,NOP,108
MIN,94,PHI,103
CHI,93,PHO,99
GSW,100,UTA,110
PHI,85,ATL,91
CHO,104,DEN,86
HOU,101,DET,114
PHO,87,GSW,106
SAC,99,IND,94
OKC,74,MEM,85
POR,88,MIL,95
CLE,106,MIN,90
DAL,108,ORL,93
LAC,105,SAS,85
TOR,120,WAS,116
MIA,83,BOS,75
LAL,80,NYK,92
LAC,100,BRK,102
PHI,84,CLE,97
MIN,94,DAL,100
ATL,100,NOP,115
ORL,97,OKC,104
MEM,102,PHO,101
MIL,82,TOR,75
CHO,92,WAS,88
MIA,91,DET,108
BOS,108,NYK,97
DEN,98,PHI,105
UTA,102,POR,103
GSW,121,SAC,96
WAS,96,ATL,105
DEN,100,BOS,104
DAL,114,GSW,128
CHI,90,HOU,101
DET,109,IND,114
LAL,105,MIL,113
MIA,101,MIN,102
OKC,102,NOP,91
ORL,103,SAS,110
BRK,109,TOR,93
MEM,100,UTA,90
